"enriched gene sets - Pt ions" "p value" "genes of the top 50 in the gene set"
"GO_REGULATION_OF_MRNA_METABOLIC_PROCESS" 0.00317654668171907 "CCNT1, SAP18, BTG2, TOB1"
"GO_RESPONSE_TO_IONIZING_RADIATION" 0.00858233656546191 "CDKN1A, PMAIP1, GADD45A, BAK1"
"GO_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY" 0.00311399134600551 "CDKN1A, GADD45A, GADD45B, TAF7, DUSP14, HHEX"
"GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS" 0.00358518866711192 "CDKN1A, MAP1LC3B, PMAIP1, GADD45A, IRF1, BAK1"
"GO_REGULATION_OF_KINASE_ACTIVITY" 0.00215194383598988 "CDKN1A, GADD45A, GADD45B, PRKAB1, BAK1, CCNT1, SDC4, TAF7, DUSP14, HHEX, PEA15"
"GO_REGULATION_OF_TRANSFERASE_ACTIVITY" 0.00432498762818755 "CDKN1A, GADD45A, GADD45B, PRKAB1, BAK1, CCNT1, SDC4, TAF7, DUSP14, HHEX, PEA15"
"GO_CELL_CYCLE_ARREST" 0.00249063939440653 "CDKN1A, GADD45A, IL12A, PRKAB1, IRF1"
"GO_REGULATION_OF_MITOCHONDRION_ORGANIZATION" 0.00651406040594587 "MAP1LC3B, PMAIP1, BAK1, SIRT4, CYB5R1"
"GO_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE" 0.00533703703570542 "CDKN1A, GADD45A, FOXC1, BTG2, BTG3"
"GO_RESPONSE_TO_UV" 0.00660557387196511 "CDKN1A, PMAIP1, IL12A, BAK1"
"GO_REGULATION_OF_CELL_CYCLE" 3.58721063363694e-05 "CDKN1A, KLHL21, GADD45A, GADD45B, IL12A, PRKAB1, IRF1, BAK1, FOXC1, CCNT1, BTG2, ATF5, BTG3, HHEX, CDCA5"
"GO_POSITIVE_REGULATION_OF_CELL_DEATH" 0.00358518866711192 "CDKN1A, PMAIP1, GADD45A, GADD45B, IL12A, BAK1, SAP18, ADM, PEA15"
"GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR" 0.00651406040594587 "CDKN1A, PMAIP1, GADD45A, BTG2"
"GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION" 0.00923683698916801 "CDKN1A, GADD45A, BTG2, ATF5"
"GO_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY" 0.00300222554746171 "CDKN1A, GADD45A, CCNT1, HHEX"
"GO_NEGATIVE_REGULATION_OF_PHOSPHORYLATION" 0.00660557387196511 "CDKN1A, GADD45A, GADD45B, BAK1, TAF7, DUSP14, HHEX"
"GO_DNA_INTEGRITY_CHECKPOINT" 0.00923683698916801 "CDKN1A, GADD45A, BTG2, PEA15"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS" 0.00317654668171907 "CDKN1A, GADD45A, GADD45B, HBEGF, BAK1, BTG2, SIRT4, DNAJB2, TAF7, DUSP14, HHEX, TOB1"
"GO_CELLULAR_RESPONSE_TO_STRESS" 0.00267199844728054 "CDKN1A, MAP1LC3B, PMAIP1, GADD45A, TERF2IP, BAK1, POLR2C, STOM, BTG2, SIRT4, XAB2, DNAJB2, ADM, CDCA5, PEA15"
"GO_NEGATIVE_REGULATION_OF_CELL_CYCLE" 0.000118288073893752 "CDKN1A, GADD45A, IL12A, PRKAB1, IRF1, FOXC1, BTG2, ATF5, BTG3, HHEX"
"GO_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS" 0.00858233656546191 "CDKN1A, GADD45A, GADD45B, IL12A, TERF2IP, PRKAB1, BAK1, CCNT1, SDC4, TAF7, ADM, DUSP14, HHEX, PEA15"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS" 0.00923683698916801 "CDKN1A, GADD45A, GADD45B, BAK1, DNAJB2, TAF7, DUSP14, HHEX"
"GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS" 0.00141060646445083 "CDKN1A, PMAIP1, GADD45A, TERF2IP, BAK1, POLR2C, BTG2, SIRT4, XAB2, CDCA5, PEA15"
"GO_NEGATIVE_REGULATION_OF_CELL_PROLIFERATION" 0.00215194383598988 "CDKN1A, PMAIP1, IL12A, IRF1, BAK1, BTG2, ATF5, BTG3, ADM, TOB1"
