"enriched gene sets - Zn ions" "p value" "genes of the top 50 in the gene set"
"GO_RESPONSE_TO_ZINC_ION" 6.42821725183746e-07 "MT1X, MT1F, SLC30A1, MT1E, MT1G, MT1H"
"GO_CELLULAR_RESPONSE_TO_CADMIUM_ION" 9.02169531335771e-11 "MT1X, MT1F, MT1E, HMOX1, MT1G, MT1H"
"GO_CELL_ACTIVATION" 0.000750406972506858 "BCL6, LAT2, SLC7A11, MT1G, MAFB, ITFG2, GATA1, VWF, CCL5, P2RX4"
"GO_RESPONSE_TO_INORGANIC_SUBSTANCE" 0.00754652265093605 "MT1X, MT1F, SLC30A1, MT1E, HMOX1, KCNC2, MT1G, MT1H"
"GO_RESPONSE_TO_METAL_ION" 0.000734459027534132 "MT1X, MT1F, SLC30A1, MT1E, HMOX1, KCNC2, MT1G, MT1H"
"GO_INFLAMMATORY_RESPONSE" 0.004124781482464 "BCL6, HMOX1, TNFRSF1B, CCL22, KLKB1, CCL5, NAIP, IL1RL2"
"GO_CELLULAR_RESPONSE_TO_ZINC_ION" 1.26133502481223e-08 "MT1X, MT1F, MT1E, MT1G, MT1H"
"GO_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE" 2.40199962440151e-05 "MT1X, MT1F, MT1E, HMOX1, KCNC2, MT1G, MT1H"
"GO_NEGATIVE_REGULATION_OF_GROWTH" 0.004124781482464 "MT1X, MT1F, MT1E, BCL6, MT1G, MT1H"
"GO_RESPONSE_TO_TRANSITION_METAL_NANOPARTICLE" 2.20646360475297e-05 "MT1X, MT1F, SLC30A1, MT1E, HMOX1, MT1G, MT1H"
"GO_RESPONSE_TO_CADMIUM_ION" 1.17459986599939e-09 "MT1X, MT1F, SLC30A1, MT1E, HMOX1, MT1G, MT1H"
