"enriched gene sets - Zn NPs" "p value" "genes of the top 50 in the gene set"
"GO_RESPONSE_TO_ZINC_ION" 2.19920368958155e-10 "MT1F, MT1G, MT1X, MT1H, SLC30A1, MT1E, MT1M, MT2A"
"GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS" 0.0020355753274317 "BAG3, PPP1R15A, ATF3, GABARAPL1, JUN, HMOX1"
"GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS" 0.00232849892271174 "PPP1R15A, ATF3, GABARAPL1, JUN, HMOX1"
"GO_RESPONSE_TO_HEAT" 0.00112851426538353 "HSPA1A, HSPA6, HMOX1, DNAJA1"
"GO_CELLULAR_RESPONSE_TO_CADMIUM_ION" 4.51084765667886e-11 "MT1F, MT1G, MT1X, MT1H, MT1E, HMOX1"
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT" 3.60221089666597e-05 "HSPA1A, DNAJB1, HSPH1, BAG3, FKBP4"
"GO_NEGATIVE_REGULATION_OF_MAPK_CASCADE" 0.00690799272223132 "HSPH1, DUSP5, ATF3, DNAJA1"
"GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION" 0.00888861875217896 "HSPA1A, HSPH1, SERTAD1, FOSB, PPP1R15A, ATF3, JUN, ZFP36, EGR1, BTG2, CAMTA1, IL7R, DDIT3, MAFF"
"GO_REGULATION_OF_GROWTH" 0.00833434672336895 "MT1F, MT1G, MT1X, MT1H, MT1E, MT1M, MT2A, OSGIN1"
"GO_RESPONSE_TO_INORGANIC_SUBSTANCE" 1.55289793240668e-07 "MT1F, MT1G, MT1X, MT1H, SLC30A1, MT1E, FOSB, PPP1R15A, MT1M, JUN, HMOX1, DDIT3, MT2A"
"GO_RESPONSE_TO_METAL_ION" 3.04511418313865e-07 "MT1F, MT1G, MT1X, MT1H, SLC30A1, MT1E, FOSB, MT1M, JUN, HMOX1, MT2A"
"GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION" 0.00461832030885646 "HSPA1A, HSPH1, DUSP5, ATF3, MCL1, DNAJA1, DDIT3"
"GO_RESPONSE_TO_ALKALOID" 0.00614995240597224 "FOSB, PPP1R15A, SLC7A11, HMOX1"
"GO_APOPTOTIC_SIGNALING_PATHWAY" 0.00325592385914911 "BAG3, PPP1R15A, JUN, HMOX1, MCL1, DDIT3"
"GO_REGULATION_OF_NEURON_APOPTOTIC_PROCESS" 0.00325592385914911 "JUN, HMOX1, MCL1, BTG2, DDIT3"
"GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 0.00821666359685993 "HSPA1A, ATF3, HMOX1, MCL1"
"GO_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT" 0.00461832030885646 "ATF3, EGR1, BTG2, MAFF"
"GO_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS" 0.00325592385914911 "HSPH1, DUSP5, PPP1R15A, ATF3, GADD45B, JUN, DNAJA1, TRIB1"
"GO_RESPONSE_TO_EXTRACELLULAR_STIMULUS" 0.00542282745800926 "PPP1R15A, ATF3, GABARAPL1, JUN, HMOX1, ZFP36, DDIT3"
"GO_POSITIVE_REGULATION_OF_CELL_DEATH" 0.0020355753274317 "PPP1R15A, ATF3, GADD45B, JUN, MCL1, DNAJA1, DDIT3, OSGIN1, HSPE1"
"GO_PROTEIN_FOLDING" 5.66886781742315e-06 "HSPA1A, DNAJB1, HSPA6, HSPH1, BAG3, DNAJA1, FKBP4, HSPE1"
"GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 0.0070419335522427 "PPP1R15A, HMOX1, MCL1, DDIT3"
"GO_CELLULAR_RESPONSE_TO_ZINC_ION" 5.20621277119261e-13 "MT1F, MT1G, MT1X, MT1H, MT1E, MT1M, MT2A"
"GO_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE" 1.41596691722168e-09 "MT1F, MT1G, MT1X, MT1H, MT1E, FOSB, MT1M, JUN, HMOX1, MT2A"
"GO_NEGATIVE_REGULATION_OF_GROWTH" 1.9424315534238e-05 "MT1F, MT1G, MT1X, MT1H, MT1E, MT1M, MT2A, OSGIN1"
"GO_RESPONSE_TO_TEMPERATURE_STIMULUS" 0.00690799272223132 "HSPA1A, HSPA6, HMOX1, DNAJA1"
"GO_CELLULAR_RESPONSE_TO_STARVATION" 0.00250180014260835 "PPP1R15A, ATF3, GABARAPL1, JUN"
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS" 0.00112030546698015 "HSPA1A, DNAJB1, HSPH1, BAG3, PPP1R15A, GADD45B, MCL1, DNAJA1, FKBP4, DDIT3"
"GO_REGULATION_OF_NEURON_DEATH" 0.00844971908622924 "JUN, HMOX1, MCL1, BTG2, DDIT3"
"GO_REGULATION_OF_CELL_DEATH" 0.000921477486781788 "HSPA1A, HSPH1, BAG3, PPP1R15A, ATF3, GADD45B, JUN, HMOX1, MCL1, DNAJA1, EGR1, BTG2, DDIT3, OSGIN1, HSPE1"
"GO_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS" 1.0689742811927e-06 "PPP1R15A, ATF3, JUN, HMOX1, EGR1, DDIT3"
"GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS" 0.00352919559243496 "HSPA1A, RGS16, HSPH1, DUSP5, PPP1R15A, ATF3, HMOX1, MCL1, DNAJA1, EGR1, IL7R, TRIB1, DDIT3"
"GO_NEGATIVE_REGULATION_OF_PHOSPHORYLATION" 0.000921477486781788 "HSPH1, DUSP5, PPP1R15A, ATF3, GADD45B, JUN, DNAJA1, TRIB1"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS" 0.0053633360930206 "HSPA1A, HSPH1, DUSP5, PPP1R15A, ATF3, GADD45B, JUN, ZFP36, DNAJA1, BTG2, TRIB1"
"GO_RESPONSE_TO_TRANSITION_METAL_NANOPARTICLE" 1.16566278205694e-09 "MT1F, MT1G, MT1X, MT1H, SLC30A1, MT1E, PPP1R15A, MT1M, HMOX1, MT2A"
"GO_SKELETAL_MUSCLE_CELL_DIFFERENTIATION" 0.000123349315794867 "ATF3, EGR1, BTG2, MAFF"
"GO_RESPONSE_TO_CADMIUM_ION" 5.87299932999695e-10 "MT1F, MT1G, MT1X, MT1H, SLC30A1, MT1E, HMOX1"
"GO_CELLULAR_RESPONSE_TO_STRESS" 0.00888861875217896 "HSPA1A, HSPA6, PPP1R15A, ATF3, GABARAPL1, JUN, HMOX1, MCL1, DNAJA1, EGR1, BTG2, TRIB1, DDIT3"
"GO_NEGATIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS" 0.00325592385914911 "HSPH1, DUSP5, PPP1R15A, ATF3, GADD45B, JUN, DNAJA1, TRIB1"
"GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER" 0.00542282745800926 "FOSB, PPP1R15A, ATF3, MXD1, JUN, ZFP36, EGR1, BTG2, DDIT3"
"GO_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY" 0.00639402467465605 "HSPA1A, HSPH1, MCL1, DDIT3"
