Rank	Ag_ion	Ag_NP	Au_ion	Au_NP	Cd	Cu_ion	Cu_NP	Fe_ion	Fe_NP	Pt	Ti	Zn_ion	Zn_NP	C_NP	Si_NP
1	MT1F	MT1X	HMOX1	MT2A	PLAUR	HSPA6	MT1G	MMP1	ANKRD1	CDKN1A	DYNC1H1	MT1X	MT1F	FBXO46	MMP1
2	MT2A	MT1H	SRXN1	ZNF142	MT1H	HMOX1	MT1H	CSRP1	ZIM2	MAP1LC3B	IRF2	MT1F	HSPA1A	F2R	STC1
3	MT1H	MT2A	SLC7A11	MT1X	MT1X	HSPA1A	MT1M	PLEK2	MYT1L	KLHL21	UBR4	SLC30A1	MT1G	OXR1	NPC1
4	MT1X	HSPA6	MT1X	CDC37	MMP10	ZFAND2A	HSPA6	ANKRD1	LEP	FZD9	TNF	MT1E	DNAJB1	NR2F2	IFI16
5	MT1E	MT1F	PIR	MT1F	MT2A	DNAJB1	MT1F	SMURF2	OMD	PMAIP1	THY1	PDIA2	HSPA6	NUMB	IL1B
6	MT1G	MT1G	TXNRD1	UBE2O	MT1F	FOS	DKK1	GDF15	PKNOX2	GADD45A	FBXO46	BCL6	MT1X	ARAP3	ICAM1
7	AKR1B10	HMOX1	SLC48A1	PFKP	KYNU	TRIB3	CCL20	PLK3	PRUNE2	THAP10	MVP	HSPB2	MT1H	CBLB	CDCP1
8	MLLT11	MT1E	SQSTM1	NUP62	SLC7A11	MT1X	CXCL2	TNFRSF12A	BUB1	GADD45B	ACSL5	AOC2	SLC30A1	RASA4	SDCBP
9	GPX2	HSPA1A	MT1E	MAPK7	MT1E	SLC30A1	GADD45B	CITED4	ID1	KCTD13	TBC1D10B	GAST	ZFAND2A	CASP2	DNER
10	DUSP5	CRYAB	GCLM	NME3	TMEFF1	PPP1R15A	MT1E	RGS17	AHCTF1	DPF2	LMF2	LAT2	RGS16	GATAD2A	RAB31
11	CRYAB	GCLM	MT1G	SNAPC4	LIG4	IER5	CXCL3	PPP1R15A	ADH1C	IL12A	RCBTB1	HMOX1	MT1E	ZCCHC4	GDF15
12	GEM	SRXN1	HSPA1A	NMB	RGS20	SESN2	HMOX1	INSIG1	GABRA3	TERF2IP	BRD1	NHLH1	HSPH1	PCGF1	CD68
13	AKR1C4	FOS	CCL5	CHST12	LAMB3	MAP1LC3B	EDN1	C6orf1	CAMK2N2	HBEGF	NFE2L1	HIST1H2BM	BAG3	MAP4K4	WIPI1
14	CCL26	ZFAND2A	IDS	TESK1	RND3	SRXN1	DUSP5	BRI3	IGLL1	PRKAB1	MFI2	KCNC2	DUSP5	TBC1D10B	CSF2
15	ABHD4	PPP1R15A	FTH1	VEGFA	UPP1	IL11	IL23A	IFNK	MGP	IRF1	ENO2	LMO2	SERTAD1	DYNC1H1	CCT5
16	HSPA1A	AKR1B10	HSPA1B	POMT2	SLC30A1	GADD45B	DHRS2	ETV4	SORBS1	TAP1	TRIO	VCX2	FOSB	FAT1	SAMHD1
17	PSMB2	DUSP1	HIST1H2BN	GAS8	SPOCD1	BAG3	G0S2	IRAK2	IQCF2	BAK1	GLI3	REG1A	PPP1R15A	MTA1	PLAUR
18	AKR1C2	EGR1	NQO1	PTCD1	KLF5	CRYAB	UCHL1	SMTN	MAP3K8	POLR2C	GCN1L1	SLC7A11	ATF3	SETD5	RAB7A
19	TM4SF1	TXNRD1	MAFG	DNPEP	KLHL28	MT1F	PLAU	SSH1	WFDC10B	FOXC1	TRAF2	MT1G	MT1M	TXNL4B	SMOC1
20	TXNRD1	HSPA1B	CCL3	ADA	PKIB	HSPH1	CYR61	NEXN	C8B	CCNT1	NUMB	TNFRSF1B	MXD1	RNPEP	HBP1
21	SLC44A4	BAG3	SLC30A1	ALDOC	KBTBD8	GABARAPL1	AREG	LONRF1	IFI44L	SAP18	GAA	CTSO	GADD45B	UBQLN2	SLC38A2
22	HSPA1B	CTGF	MT2A	SAC3D1	FAM135A	DUSP5	IL6	PTPN14	ABI3BP	SDC4	MAPKBP1	AMDHD2	PNLDC1	AHCY	PLIN2
23	RASD1	JUN	TSC22D3	EP300	KRT34	CLK1	CSF3	B3GNT3	C22orf31	TJAP1	FLII	GPA33	GABARAPL1	GDI1	MMP14
24	UGT1A6	ADM	CCR7	CELSR3	CCDC112	GCLM	RASD1	RELB	KRT71	STOM	FYCO1	NTSR2	SLC7A11	SIRT6	GNS
25	SFN	FHL2	CPNE5	LRRC14	IFRD1	IER2	EMP1	SPAG9	OAS1	PRAF2	ATG2B	CCL22	JUN	TRRAP	ADK
26	PTGES3	IER5	PPP1R15A	TTLL12	NKIRAS1	DUSP1	FOS	ITGA2	ITCH	BTG2	CCL3	MTSS1	HMOX1	MED15	NT5E
27	TFPI	SLC30A1	DNAJB4	ZMYND8	SEMA3C	MT1G	UPP1	PHLDA1	RUNX3	ZNF250	ZCCHC8	GPR173	ZFP36	KLHL2	EIF3I
28	NQO1	FOSL1	FOS	ARFGAP2	ACAP2	CHORDC1	EGR4	CXCL1	ADH1A	SIRT4	FILIP1L	GCLC	MCL1	EIF4ENIF1	RRAGC
29	PLSCR3	SLC7A11	MT1F	MPI	HSPA1A	HIST2H2AA3	SPINK1	IL11	RAB7A	XAB2	PIP	MAFB	DNAJA1	UNC119B	TFPI
30	CLTB	DNAJB1	ATP6V0A1	SIX5	ARL5B	RGS2	PLAT	DUSP6	PPARGC1A	CYB5R1	SIPA1L3	MT1H	SESN2	SCMH1	PI4K2A
31	LILRB1	GADD45B	TALDO1	BCAT2	SGTB	PMAIP1	TFPI2	CD59	BTN3A2	MRPL49	SYT1	MYO1A	EGR1	MAN1B1	NEU1
32	NAB2	CYR61	SRGN	EXOC7	RASD1	DDIT3	IL1A	ARHGDIB	BEGAIN	SLC25A28	BANP	ITFG2	FKBP4	SERPING1	NFIL3
33	BAX	DEDD2	CXCR3	ANKRD11	GFPT2	DNAJB6	CD86	EMP1	ZC3H18	BRD2	PHF1	CRAT	BTG2	GBF1	DDIT3
34	SERTAD4	ULBP2	UNKL	DBN1	ZBTB26	ZC3H12A	TNFAIP3	SPATA19	FBXO32	ABHD4	CACNA1H	FOXJ1	CAMTA1	KCTD13	TNFAIP6
35	PLAUR	ITGA2	ABHD4	HPS6	CPEB4	KLF10	MAFF	SNX8	FCER2	BRF2	C16orf3	KLKB1	IL7R	PLXNA3	TULP3
36	SERPINH1	FOSB	SLC12A8	BST2	RNFT1	HSPA1L	CXCL5	RGS4	CHDH	ATF5	SIRT6	PLEKHO2	TRIB1	LRP1	PLAU
37	C8orf37	MAP1LC3B	HIST1H3D	CYHR1	FAM24B	FOSB	EGR1	S100A11	KCNS3	DNAJB2	ASIP	DOK1	PPP1R10	CDC42BPB	GFPT2
38	LPAR2	CLCF1	GCLC	METTL1	DYNLT3	SERTAD1	MT1B	CLDN12	HOXA1	TBCC	HBA2	GATA1	IER5	CSNK2A2	STX3
39	HMOX2	IL11	BAG3	OPA3	STAM	MAFG	DDIT3	CKS2	POLD4	TAF7	ANKRD27	HIST1H2AI	AHSA1	ZNF804A	GALNT12
40	SCPEP1	ANXA1	SLC1A4	MVP	AMPD3	CHIC2	MT1A	CDT1	GABBR2	BTG3	GPT	KIAA0125	DDIT3	ADAP2	SERPINB8
41	BRSK1	HSPB8	NQO2	RNF24	MLPH	IFRD1	TESC	PRDM8	SLC35D2	ZNF614	PPP1R10	SSX7	MAFF	PRKDC	ARMCX1
42	HSP90AA1	OSGIN1	TMBIM1	CCDC97	JMY	MAFB	OVOL1	RAB3B	C12orf50	ADM	GBF1	VWF	MT2A	CCNL2	RND3
43	HTATIP2	G6PD	HIST1H4A	BAIAP2L1	ERO1LB	RASD1	PHLDA2	KRT20	EZH2	DUSP14	FAM65A	CHST11	ARC	C5AR1	G0S2
44	FNDC3B	RGS2	HIST1H3J	UPF1	LONRF2	SERPINB8	PLK3	CYP39A1	CRIM1	HHEX	DGCR2	GRP	RND3	PCNX	CYP51A1
45	MED31	PALLD	TNF	ANKRD37	ZNF146	GADD45A	CXCL1	P4HA3	PTGER2	ZNF34	LHFP	CCL5	OSGIN1	RAC2	TP53INP1
46	ABCB6	GEM	ELK3	CCDC85B	MT1M	NXF1	APOBEC3B	DUSP5	CEACAM1	CDCA5	ZNF444	CIRBP	LDLR	WBP2	MYL9
47	BRI3	MYADM	PSG7	REC8	ZNF432	YRDC	IFRD1	RRAGD	CXCL10	PEA15	MKL2	NAIP	STIP1	UAP1L1	COPG2
48	CRB3	SQSTM1	CHAC1	WDR18	PHKA1	CARS	BIRC3	SST	TMEM121	C1orf109	FNDC4	P2RX4	VPS37B	ARHGEF2	PPP3R1
49	ITGA2	RIT1	DEDD2	ZNF672	LY96	FAM107B	DUSP6	CSTB	SNAPC4	TOB1	UPF1	IL1RL2	HSPE1	EVL	VAT1
50	GCLM	SLC30A2	LPXN	FTSJ3	ENC1	SPAG9	XDH	PHF1	C1orf87	IER5	PAIP2B	ACSBG2	MRPL18	NRGN	IFIT3
