"enriched gene sets - Ag ions" "p value" "genes of the top 50 in the gene set"
"GO_RESPONSE_TO_ZINC_ION" 8.57095633578328e-07 "MT1F, MT2A, MT1H, MT1X, MT1E, MT1G"
"GO_CELLULAR_RESPONSE_TO_CADMIUM_ION" 1.18550122513896e-08 "MT1F, MT1H, MT1X, MT1E, MT1G"
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT" 7.7190233499985e-05 "CRYAB, HSPA1A, HSPA1B, PTGES3, HSP90AA1"
"GO_REGULATION_OF_GROWTH" 0.00396481864904153 "MT1F, MT2A, MT1H, MT1X, MT1E, MT1G, CRYAB, SLC44A4, SFN"
"GO_RESPONSE_TO_INORGANIC_SUBSTANCE" 0.000965583397084086 "MT1F, MT2A, MT1H, MT1X, MT1E, MT1G, CRYAB, NQO1, BAX"
"GO_RESPONSE_TO_METAL_ION" 0.00279068401438281 "MT1F, MT2A, MT1H, MT1X, MT1E, MT1G, BAX"
"GO_REGULATION_OF_MITOCHONDRION_ORGANIZATION" 0.00555611034624795 "MLLT11, HSPA1A, SFN, BAX, PLAUR"
"GO_MITOCHONDRIAL_MEMBRANE_ORGANIZATION" 0.00279068401438281 "HSPA1A, SFN, BAX, HSP90AA1"
"GO_PROTEIN_FOLDING" 0.00572116225857904 "CRYAB, HSPA1A, HSPA1B, PTGES3, HSP90AA1"
"GO_CELLULAR_RESPONSE_TO_ZINC_ION" 1.59980766799713e-10 "MT1F, MT2A, MT1H, MT1X, MT1E, MT1G"
"GO_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE" 0.000311143271150394 "MT1F, MT2A, MT1H, MT1X, MT1E, MT1G"
"GO_NEGATIVE_REGULATION_OF_GROWTH" 0.00035515869850864 "MT1F, MT2A, MT1H, MT1X, MT1E, MT1G, CRYAB"
"GO_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY" 0.00508445226037843 "HSPA1A, HSPA1B, BAX, PLAUR, GCLM"
"GO_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS" 0.00783426499292996 "DUSP5, CRYAB, HSPA1A, PSMB2, HSPA1B, SFN, TFPI, LILRB1, BAX, PLAUR, SERPINH1"
"GO_RESPONSE_TO_TRANSITION_METAL_NANOPARTICLE" 1.83871967062747e-05 "MT1F, MT2A, MT1H, MT1X, MT1E, MT1G, BAX"
"GO_RESPONSE_TO_TOXIC_SUBSTANCE" 0.00879684574429804 "GPX2, TXNRD1, NQO1, BAX, HSP90AA1"
"GO_PROTEIN_REFOLDING" 4.79374602126998e-06 "HSPA1A, HSPA1B, PTGES3, HSP90AA1"
"GO_RESPONSE_TO_CADMIUM_ION" 3.63602292856659e-06 "MT1F, MT1H, MT1X, MT1E, MT1G"
"GO_RESPONSE_TO_OXIDATIVE_STRESS" 0.00331802345993374 "GPX2, CRYAB, HSPA1A, TXNRD1, HSPA1B, NQO1, GCLM"
"GO_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY" 0.00845370805198507 "CRYAB, SFN, TFPI, PLAUR, SERPINH1"
"GO_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY" 0.00344729679529993 "MLLT11, HSPA1A, HSPA1B, SFN, BAX, PLAUR, GCLM"
