"enriched gene sets - Ag NPs" "p value" "genes of the top 50 in the gene set"
"GO_LEUKOCYTE_ACTIVATION" 0.00253629618733426 "MT1G, EGR1, JUN, ULBP2, CLCF1, IL11, ANXA1"
"GO_RESPONSE_TO_NITROGEN_COMPOUND" 4.64919871168034e-05 "HMOX1, FOS, PPP1R15A, DUSP1, EGR1, CTGF, JUN, ADM, FOSL1, SLC7A11, ITGA2, FOSB, ANXA1"
"GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS" 0.00328101475237142 "HMOX1, GCLM, JUN, CLCF1"
"GO_RESPONSE_TO_ZINC_ION" 1.60671770031989e-10 "MT1X, MT1H, MT2A, MT1F, MT1G, MT1E, SLC30A1, SLC30A2"
"GO_RESPONSE_TO_ORGANOPHOSPHORUS" 0.000571586654415805 "FOS, DUSP1, JUN, FOSL1, FOSB"
"GO_RESPONSE_TO_ESTRADIOL" 0.000720214669514817 "CRYAB, DUSP1, CTGF, ITGA2, ANXA1"
"GO_RESPONSE_TO_STEROID_HORMONE" 1.07867251548405e-05 "HMOX1, CRYAB, FOS, DUSP1, CTGF, ADM, FHL2, FOSL1, ITGA2, FOSB, ANXA1"
"GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS" 2.18050451778518e-05 "HMOX1, FOS, PPP1R15A, BAG3, JUN, FOSL1, ITGA2, MAP1LC3B"
"GO_RESPONSE_TO_CORTICOSTEROID" 2.09246367395572e-05 "FOS, DUSP1, CTGF, ADM, FOSL1, FOSB, ANXA1"
"GO_POSITIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS" 0.00967878867396376 "PPP1R15A, CTGF, JUN, ADM, GADD45B, CYR61, ITGA2, CLCF1, IL11, SQSTM1"
"GO_RESPONSE_TO_WOUNDING" 0.00282272280777343 "HMOX1, CTGF, JUN, ADM, SLC7A11, CYR61, ITGA2, ANXA1"
"GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS" 0.000199116202758536 "HMOX1, FOS, PPP1R15A, JUN, FOSL1, MAP1LC3B"
"GO_RESPONSE_TO_HEAT" 0.000725473456317984 "HSPA6, HMOX1, HSPA1A, HSPA1B"
"GO_CELLULAR_RESPONSE_TO_CADMIUM_ION" 4.51084765667886e-11 "MT1X, MT1H, MT1F, MT1G, HMOX1, MT1E"
"GO_CELL_DEATH" 0.00213326046888808 "HMOX1, CRYAB, GCLM, PPP1R15A, BAG3, CTGF, JUN, GADD45B, CYR61, DEDD2, SQSTM1"
