"enriched gene sets - Au ions" "p value" "genes of the top 50 in the gene set"
"GO_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION" 0.000196978490547075 "CCL5, CCL3, FOS, TNF"
"GO_RESPONSE_TO_ZINC_ION" 5.14257380146997e-07 "MT1X, MT1E, MT1G, SLC30A1, MT2A, MT1F"
"GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION" 0.0032338545062875 "HMOX1, CCL5, CCL3, TSC22D3, PPP1R15A, HIST1H3D, GCLC, HIST1H4A, HIST1H3J, TNF, ELK3, CHAC1, DEDD2"
"GO_REGULATION_OF_CYTOKINE_PRODUCTION" 0.00845767162133614 "HMOX1, HSPA1A, HSPA1B, CCL3, CCR7, SRGN, TNF"
"GO_CHEMICAL_HOMEOSTASIS" 0.00302349704400667 "HMOX1, CCL5, FTH1, MAFG, CCL3, SLC30A1, MT2A, CCR7, ATP6V0A1, CXCR3"
"GO_CELL_CHEMOTAXIS" 0.00539126619332353 "CCL5, CCL3, CCR7, CXCR3"
"GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS" 0.00523931033332325 "HMOX1, CCL5, PPP1R15A, FOS, BAG3"
"GO_METAL_ION_TRANSPORT" 0.00832508920569946 "CCL5, FTH1, CCL3, SLC30A1, CCR7, ATP6V0A1, SLC12A8"
"GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS" 0.00754034368975561 "HMOX1, CCL5, PPP1R15A, FOS"
"GO_RESPONSE_TO_HEAT" 9.51017664554281e-05 "HMOX1, HSPA1A, HSPA1B, DNAJB4, GCLC"
"GO_CELLULAR_RESPONSE_TO_CADMIUM_ION" 1.89200253721834e-08 "HMOX1, MT1X, MT1E, MT1G, MT1F"
"GO_MYELOID_LEUKOCYTE_DIFFERENTIATION" 0.00101572827361095 "PIR, MT1G, CCR7, TNF"
"GO_CELL_DEATH" 0.00178138245340139 "HMOX1, SQSTM1, GCLM, PPP1R15A, SRGN, CXCR3, GCLC, BAG3, TNF, CHAC1, DEDD2"
