"enriched gene sets - Cu ions" "p value" "genes of the top 50 in the gene set"
"GO_RESPONSE_TO_NITROGEN_COMPOUND" 0.00404396984213073 "HMOX1, FOS, TRIB3, PPP1R15A, SESN2, DUSP1, PMAIP1, DDIT3, KLF10, FOSB"
"GO_RESPONSE_TO_ZINC_ION" 0.000155794339173907 "MT1X, SLC30A1, MT1F, MT1G"
"GO_REGULATION_OF_MAPK_CASCADE" 0.00058389573495974 "TRIB3, IL11, GADD45B, HSPH1, DUSP5, DUSP1, RGS2, ZC3H12A, GADD45A, SPAG9"
"GO_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE" 0.00303918656595906 "GADD45B, HSPH1, ZC3H12A, GADD45A, SPAG9"
"GO_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY" 0.000153912796688428 "TRIB3, GADD45B, DUSP5, DUSP1, CHORDC1, RGS2, GADD45A"
"GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS" 6.75649301285562e-07 "HMOX1, FOS, PPP1R15A, MAP1LC3B, BAG3, GABARAPL1, PMAIP1, ZC3H12A, KLF10, GADD45A"
"GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS" 2.66319223403888e-06 "HMOX1, FOS, PPP1R15A, MAP1LC3B, GABARAPL1, PMAIP1, ZC3H12A, KLF10"
"GO_CELLULAR_RESPONSE_TO_CADMIUM_ION" 9.40275342326916e-07 "HMOX1, MT1X, MT1F, MT1G"
"GO_REGULATION_OF_KINASE_ACTIVITY" 0.000395919353132169 "TRIB3, SESN2, GADD45B, HSPH1, DUSP5, DUSP1, CHORDC1, RGS2, SERTAD1, GADD45A, SPAG9"
"GO_CELL_DEATH" 0.000711648362317082 "HMOX1, TRIB3, PPP1R15A, GADD45B, BAG3, CRYAB, GCLM, PMAIP1, DDIT3, DNAJB6, ZC3H12A, GADD45A"
"GO_REGULATION_OF_TRANSFERASE_ACTIVITY" 0.00197280137426099 "TRIB3, SESN2, GADD45B, HSPH1, DUSP5, DUSP1, CHORDC1, RGS2, SERTAD1, GADD45A, SPAG9"
"GO_CELL_CYCLE_ARREST" 0.0051310074549709 "PPP1R15A, DUSP1, DDIT3, GADD45A"
"GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION" 0.00543012249926671 "HMOX1, HSPA1A, TRIB3, IL11, GADD45B, HSPH1, DUSP5, DUSP1, RGS2, PMAIP1, DDIT3, ZC3H12A, GADD45A, SPAG9"
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT" 6.50123285268017e-09 "HSPA1A, DNAJB1, BAG3, CRYAB, HSPH1, CHORDC1, DNAJB6, HSPA1L"
"GO_POSITIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE" 0.00468540980970925 "GADD45B, ZC3H12A, GADD45A, SPAG9"
"GO_NEGATIVE_REGULATION_OF_MAPK_CASCADE" 0.00552120530098038 "HSPH1, DUSP5, DUSP1, RGS2"
"GO_RESPONSE_TO_INORGANIC_SUBSTANCE" 2.07772738775234e-06 "HMOX1, FOS, MT1X, SLC30A1, PPP1R15A, CRYAB, MT1F, DUSP1, MT1G, DDIT3, ZC3H12A, FOSB"
