"enriched gene sets - Cu NPs" "p value" "genes of the top 50 in the gene set"
"GO_LEUKOCYTE_ACTIVATION" 0.00149093086687893 "MT1G, EDN1, IL23A, DHRS2, IL6, CD86, EGR1"
"GO_RESPONSE_TO_NITROGEN_COMPOUND" 0.00639937216652527 "HMOX1, EDN1, PLAU, AREG, IL6, FOS, TNFAIP3, EGR1, DDIT3"
"GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION" 0.00900060809754116 "IL23A, IL6, CD86, TNFAIP3"
"GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS" 0.00848357306616349 "IL6, SPINK1, PLAT, TFPI2, BIRC3"
"GO_RESPONSE_TO_ZINC_ION" 7.44340190172241e-09 "MT1G, MT1H, MT1M, MT1F, MT1E, MT1B, MT1A"
"GO_POSITIVE_REGULATION_OF_HEMOPOIESIS" 4.56632170651994e-05 "IL23A, IL6, CSF3, FOS, CD86, TESC"
"GO_REGULATION_OF_CYTOKINE_PRODUCTION" 0.000390455601564513 "CCL20, HMOX1, IL23A, IL6, IL1A, CD86, TNFAIP3, DDIT3, BIRC3"
"GO_REGULATION_OF_WOUND_HEALING" 0.00149093086687893 "EDN1, PLAU, PLAT, TNFAIP3"
"GO_REGULATION_OF_MAPK_CASCADE" 0.000302500200039383 "CCL20, GADD45B, EDN1, DUSP5, UCHL1, CYR61, IL6, IL1A, DUSP6, XDH"
"GO_MYELOID_LEUKOCYTE_MIGRATION" 0.000617898942025554 "CCL20, CXCL3, EDN1, IL6"
"GO_CELLULAR_RESPONSE_TO_INTERLEUKIN_1" 0.000399005235726622 "CCL20, EDN1, IL6, EGR1"
"GO_CELL_CHEMOTAXIS" 6.99230505594226e-06 "CCL20, CXCL2, CXCL3, EDN1, IL6, CXCL5, CXCL1"
"GO_IMMUNE_SYSTEM_PROCESS" 0.000144426330025261 "MT1G, CCL20, CXCL2, CXCL3, HMOX1, EDN1, IL23A, DHRS2, IL6, CSF3, IL1A, CD86, TNFAIP3, CXCL5, EGR1, CXCL1, APOBEC3B, BIRC3"
"GO_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE" 0.00844796125815509 "GADD45B, EDN1, IL1A, XDH"
"GO_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY" 8.24532839402291e-05 "GADD45B, DUSP5, UCHL1, IL6, TNFAIP3, TESC, DUSP6"
"GO_RESPONSE_TO_ACID_CHEMICAL" 0.00848357306616349 "DKK1, EDN1, IL6, EGR1, TESC"
"GO_CELLULAR_RESPONSE_TO_LIPID" 0.000506679159126087 "CCL20, EDN1, PLAU, IL6, CSF3, CD86, TNFAIP3, TESC"
"GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS" 2.85120837107221e-06 "CCL20, CXCL2, GADD45B, CXCL3, HMOX1, EDN1, DUSP5, IL23A, G0S2, CYR61, IL6, CSF3, IL1A, CD86, TNFAIP3, CXCL5, DDIT3, CXCL1, BIRC3, DUSP6, XDH"
"GO_POSITIVE_REGULATION_OF_CELL_COMMUNICATION" 0.000144426330025261 "DKK1, CCL20, GADD45B, HMOX1, EDN1, DUSP5, IL23A, G0S2, CYR61, IL6, CSF3, IL1A, DDIT3, BIRC3, DUSP6, XDH"
"GO_RESPONSE_TO_CORTICOSTEROID" 0.00607107339116072 "EDN1, AREG, IL6, FOS"
"GO_POSITIVE_REGULATION_OF_PHOSPHATE_METABOLIC_PROCESS" 0.00053463760276895 "CCL20, GADD45B, EDN1, DUSP5, IL23A, CYR61, AREG, IL6, CSF3, IL1A, DUSP6, XDH"
"GO_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS" 6.43094082583732e-06 "CCL20, PLAU, IL6, CSF3, CD86, TNFAIP3, DDIT3"
"GO_RESPONSE_TO_WOUNDING" 8.44764065812785e-05 "CCL20, HMOX1, PLAU, CYR61, IL6, PLAT, TFPI2, IL1A, MAFF, IFRD1"
"GO_POSITIVE_REGULATION_OF_LOCOMOTION" 7.9219958225732e-06 "CCL20, CXCL2, CXCL3, EDN1, IL23A, PLAU, CYR61, IL6, CXCL5, CXCL1"
"GO_RESPONSE_TO_HEAT" 0.000414556260753134 "HSPA6, HMOX1, IL6, IL1A"
"GO_CELLULAR_RESPONSE_TO_CADMIUM_ION" 4.51084765667886e-11 "MT1G, MT1H, MT1F, MT1E, HMOX1, MT1A"
"GO_REGULATION_OF_KINASE_ACTIVITY" 0.000804155002581139 "GADD45B, EDN1, DUSP5, IL23A, UCHL1, CYR61, IL6, TNFAIP3, TESC, DUSP6"
"GO_MYELOID_LEUKOCYTE_DIFFERENTIATION" 0.000571407245710118 "MT1G, DHRS2, CSF3, CD86"
"GO_CELL_DEATH" 1.86512658595702e-05 "GADD45B, HMOX1, G0S2, PLAU, CYR61, IL6, EMP1, IL1A, TNFAIP3, DDIT3, PHLDA2, PLK3, BIRC3, XDH"
"GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY" 1.55415023112651e-05 "CCL20, CXCL2, CXCL3, IL6, CSF3, IL1A, CXCL5, EGR1, CXCL1, BIRC3"
"GO_POSITIVE_REGULATION_OF_MAPK_CASCADE" 0.0005756742298755 "CCL20, GADD45B, EDN1, DUSP5, IL6, IL1A, DUSP6, XDH"
"GO_REGULATION_OF_BODY_FLUID_LEVELS" 0.00428891580886719 "EDN1, PLAU, IL6, PLAT, TFPI2, MAFF, XDH"
"GO_DEFENSE_RESPONSE_TO_VIRUS" 0.00373834854093518 "IL23A, IL6, CD86, APOBEC3B"
"GO_IMMUNE_SYSTEM_DEVELOPMENT" 0.00832147952558386 "MT1G, DHRS2, IL6, CSF3, CD86, TNFAIP3, EGR1"
"GO_REGULATION_OF_TRANSFERASE_ACTIVITY" 0.00327244081195085 "GADD45B, EDN1, DUSP5, IL23A, UCHL1, CYR61, IL6, TNFAIP3, TESC, DUSP6"
"GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION" 5.82204529218516e-06 "CCL20, GADD45B, HMOX1, EDN1, DUSP5, IL23A, UCHL1, CYR61, IL6, CSF3, SPINK1, IL1A, CD86, TNFAIP3, DDIT3, PLK3, BIRC3, DUSP6, XDH"
"GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS" 0.00202827906418892 "CCL20, HMOX1, EDN1, IL23A, CYR61, AREG, IL6, CSF3, FOS, IL1A, CD86, MAFF, EGR1, DDIT3, TESC"
"GO_CELL_ACTIVATION" 0.00763931970543994 "MT1G, EDN1, IL23A, DHRS2, IL6, CD86, EGR1"
"GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND" 0.00113664997712725 "CCL20, EDN1, PLAU, IL6, CSF3, FOS, CD86, TNFAIP3, EGR1, TESC"
"GO_LEUKOCYTE_DIFFERENTIATION" 0.00135149722280573 "MT1G, DHRS2, IL6, CSF3, CD86, EGR1"
"GO_REGULATION_OF_LEUKOCYTE_MIGRATION" 3.47822418537147e-07 "CCL20, CXCL2, CXCL3, HMOX1, IL23A, IL6, CXCL5, CXCL1"
"GO_POSITIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE" 0.00224084816986094 "GADD45B, EDN1, IL1A, XDH"
"GO_REGULATION_OF_GROWTH" 0.000206140345910395 "MT1G, MT1H, MT1M, MT1F, MT1E, CYR61, MT1B, MT1A, IFRD1, DUSP6"
"GO_RESPONSE_TO_INORGANIC_SUBSTANCE" 8.5782628536005e-11 "MT1G, MT1H, MT1M, MT1F, MT1E, HMOX1, EDN1, AREG, IL6, FOS, IL1A, CD86, TNFAIP3, MT1B, DDIT3, MT1A"
"GO_POSITIVE_REGULATION_OF_CELL_PROLIFERATION" 1.07241271468718e-05 "HMOX1, EDN1, IL23A, PLAU, CYR61, AREG, IL6, CSF3, EGR4, CD86, TNFAIP3, CXCL5, EGR1"
"GO_LEUKOCYTE_CHEMOTAXIS" 0.00122789685370332 "CCL20, CXCL3, EDN1, IL6"
"GO_RESPONSE_TO_METAL_ION" 1.70408449467896e-09 "MT1G, MT1H, MT1M, MT1F, MT1E, HMOX1, EDN1, IL6, FOS, IL1A, CD86, MT1B, MT1A"
"GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION" 0.00170474910729601 "DUSP5, UCHL1, SPINK1, TNFAIP3, DDIT3, DUSP6, XDH"
"GO_WOUND_HEALING" 1.86512658595702e-05 "CCL20, HMOX1, PLAU, CYR61, IL6, PLAT, TFPI2, IL1A, MAFF, IFRD1"
"GO_DEFENSE_RESPONSE" 2.86652398427687e-05 "CCL20, CXCL2, CXCL3, HMOX1, EDN1, IL23A, IL6, FOS, IL1A, CD86, TNFAIP3, CXCL5, EGR1, CXCL1, APOBEC3B"
"GO_CELL_MOTILITY" 0.00133208925286269 "CCL20, CXCL2, CXCL3, EDN1, PLAU, CYR61, IL6, PLAT, CXCL5, CXCL1"
"GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" 0.00137248360273937 "CXCL2, CXCL3, IL23A, IL6, CXCL5, CXCL1"
"GO_AGING" 0.00415243212587854 "EDN1, IL6, FOS, CD86, DDIT3"
"GO_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION" 0.00202575159554316 "IL23A, IL6, FOS, CD86, TESC"
"GO_TAXIS" 9.82796527253095e-05 "CCL20, CXCL2, CXCL3, EDN1, PLAU, CYR61, IL6, CXCL5, CXCL1"
"GO_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION" 0.00506998947166446 "IL23A, CSF3, FOS, TESC"
"GO_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" 0.000242729996960608 "CXCL2, CXCL3, EDN1, IL23A, UCHL1, PLAU, IL6, PLAT, TNFAIP3, CXCL5, CXCL1, BIRC3"
"GO_RESPONSE_TO_EXTERNAL_STIMULUS" 5.60118367997398e-05 "CCL20, CXCL2, CXCL3, HMOX1, EDN1, IL23A, PLAU, CYR61, IL6, CSF3, FOS, UPP1, CD86, TNFAIP3, CXCL5, DDIT3, CXCL1, APOBEC3B"
"GO_POSITIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION" 0.000149073566513003 "IL23A, IL6, FOS, CD86, TESC"
"GO_POSITIVE_REGULATION_OF_NEUTROPHIL_MIGRATION" 4.04330315931026e-06 "CXCL2, CXCL3, IL23A, CXCL1"
"GO_REGULATION_OF_HEMOPOIESIS" 0.00133603450261832 "IL23A, IL6, CSF3, FOS, CD86, TESC"
