	metal	essential	toxicity	metal_type	form	cell_line
GSE103101	yes	non_essential	toxic	silver	np	EA.hy926
GSE103115_BT549	yes	non_essential	toxic	platinum	ion	BT549
GSE103115_HCC38	yes	non_essential	toxic	platinum	ion	HCC38
GSE103115_MDA_MB_157	yes	non_essential	toxic	platinum	ion	MDA-MB-157
GSE103115_MDA_MB_231	yes	non_essential	toxic	platinum	ion	MDA-MB-231
GSE1056_Co	yes	essential	toxic	cobalt	ion	Hep3B
GSE1056_Ni	yes	essential	toxic	nickel	ion	Hep3B
GSE107333	yes	essential	toxic	cobalt	ion	SHSY5Y
GSE109375_Cu_BEAS2B	yes	essential	non_toxic	copper	ion	BEAS2B
GSE109375_Cu_HCT116	yes	essential	non_toxic	copper	ion	HCT116
GSE110410	yes	non_essential	non_toxic	titanium	np	Caco2
GSE110425	yes	non_essential	toxic	platinum	ion	HCT116
GSE117056	yes	non_essential	non_toxic	titanium	np	HepG2
GSE12546	yes	essential	toxic	cobalt	ion	HUVEC
GSE127773	yes	essential	non_toxic	copper	np	Bronchial_epithelium
GSE127962	no	not_a_metal	not_a_metal	silica	np	BEAS2B
GSE13525	yes	non_essential	toxic	platinum	ion	36M2
GSE136595	yes	non_essential	toxic	cadmium	ion	MCF7
GSE14452_Ag	yes	non_essential	toxic	silver	ion	HepG2
GSE14452_NPAg	yes	non_essential	toxic	silver	np	HepG2
GSE16247_Cu	yes	essential	non_toxic	copper	ion	HT1080
GSE16247_Pt	yes	non_essential	toxic	platinum	ion	HT1080
GSE16349_Fe	yes	essential	non_toxic	iron	ion	fibroblasts
GSE16425	yes	non_essential	non_toxic	titanium	np	HaCaT
GSE16727	yes	essential	toxic	cobalt	ion	HaCat
GSE17676_EC	yes	non_essential	non_toxic	titanium	np	endothelial_cells
GSE17676_VSCM	yes	non_essential	non_toxic	titanium	np	muscle_cells
GSE20320	yes	non_essential	toxic	cadmium	ion	TK6
GSE20677_AuNP_PBMC	yes	non_essential	non_toxic	gold	np	PBMC
GSE20692_Ag	yes	non_essential	toxic	silver	ion	Jurkat
GSE20692_Ag_NP	yes	non_essential	toxic	silver	np	Jurkat
GSE2111	yes	essential	non_toxic	zinc	ion	HBEC
GSE23387	yes	essential	toxic	nickel	ion	T-cells
GSE25167_HaCat_Ti	yes	non_essential	non_toxic	titanium	np	HaCat
GSE25167_HaCat_Zn	yes	essential	non_toxic	zinc	np	HaCat
GSE25167_SK_Mel-28_Ti	yes	non_essential	non_toxic	titanium	np	SK_Mel_28
GSE25167_SK_Mel-28_Zn	yes	essential	non_toxic	zinc	np	SK_Mel_28
GSE27204	yes	non_essential	toxic	cadmium	ion	HK2
GSE2964_Zn	yes	essential	non_toxic	zinc	ion	Ramos
GSE30774	yes	essential	non_toxic	iron	ion	MG-63
GSE31286	yes	non_essential	toxic	cadmium	ion	HepG2
GSE3573	yes	essential	non_toxic	iron	ion	Caco2
GSE38545_NIHOVCAR3	yes	non_essential	toxic	platinum	ion	NIHOVCAR3
GSE38545_SKOV	yes	non_essential	toxic	platinum	ion	SKOV
GSE38545_TOV21G	yes	non_essential	toxic	platinum	ion	TOV21G
GSE39316_HMDM_TiO2	yes	non_essential	non_toxic	titanium	np	HMDM
GSE39316_HMDM_ZnO	yes	essential	non_toxic	zinc	np	HMDM
GSE39316_Jurkat_TiO2	yes	non_essential	non_toxic	titanium	np	Jurkat
GSE39316_Jurkat_ZnO	yes	essential	non_toxic	zinc	np	Jurkat
GSE39316_MDDC_TiO2	yes	non_essential	non_toxic	titanium	np	MDDC
GSE39316_MDDC_ZnO	yes	essential	non_toxic	zinc	np	MDDC
GSE42069_Caco2_MWCNT	no	not_a_metal	not_a_metal	carbon	np	Caco2
GSE42069_Caco2_TiO2	yes	non_essential	non_toxic	titanium	np	Caco2
GSE42069_SAE_MWCNT	no	not_a_metal	not_a_metal	carbon	np	SAE
GSE42069_SAE_TiO2	yes	non_essential	non_toxic	titanium	np	SAE
GSE42069_THP1_MWCNT	no	not_a_metal	not_a_metal	carbon	np	THP1
GSE42069_THP1_TiO2	yes	non_essential	non_toxic	titanium	np	THP1
GSE43515_CBNP	no	not_a_metal	not_a_metal	carbon	np	Lung_fibroblasts
GSE43515_MWCNT	no	not_a_metal	not_a_metal	carbon	np	Lung_fibroblasts
GSE45322	yes	essential	non_toxic	zinc	np	olfactory_neurosphere_derived_cells
GSE47980_IgR3	yes	non_essential	toxic	platinum	ion	IgR3
GSE47980_Me4405	yes	non_essential	toxic	platinum	ion	Me4405
GSE47980_Mel_RM	yes	non_essential	toxic	platinum	ion	Mel_RM
GSE47980_Melanocytes	yes	non_essential	toxic	platinum	ion	melanocytes
GSE47980_MM200	yes	non_essential	toxic	platinum	ion	MM200
GSE47980_Sk_mel_28	yes	non_essential	toxic	platinum	ion	SK_Mel_28
GSE4852_Ni	yes	essential	toxic	nickel	ion	HUVEC
GSE53700	no	not_a_metal	not_a_metal	silica	np	A549
GSE54962	yes	essential	non_toxic	iron	ion	A549
GSE55349	yes	non_essential	non_toxic	gold	np	Caco2
GSE5590_Zn_HPR1	yes	essential	non_toxic	zinc	ion	HPR1
GSE5590_Zn_PC3	yes	essential	non_toxic	zinc	ion	PC3
GSE56432_HDF	yes	non_essential	non_toxic	gold	np	HDF
GSE56432_PC3	yes	non_essential	non_toxic	gold	np	PC3
GSE5892	yes	essential	toxic	cobalt	ion	A549
